Year,CABLE-POP,CARDAMOM,CLASSIC,CLM-FATES,CLM6.0,DLEM,E3SM,EDv3,ELM-FATES,GDSTEM,IBIS,ISAM,JSBACH,JULES,LPJ-EOSIM,LPJ-GUESS,LPJmL,LPX-Bern,ORCHIDEE,VISIT-UT
1791,-1.013729521,,-1.577272134,0.79733161,-0.484056963,-0.087288071,-0.218483271,-0.111832264,-0.05578136,-0.433310091,0.083993407,-0.496978686,-1.249444664,-0.437999801,0.023155726,-0.827924682,0.326384531,-1.089274956,-0.538130434,-0.194994255
1792,1.704478889,,-0.578166976,-0.462991295,-0.170432569,-0.088520239,-0.330204054,0.864269662,0.35376629,0.2349452,-0.092816747,0.063661757,0.587832914,-0.158904177,0.213290429,-1.02895698,-0.502894599,-0.558969824,-0.220108597,-0.747118166
1793,-0.277521261,,-0.86431018,0.451808405,-0.36960483,0.051476755,0.073418222,-0.29255278,0.229600938,-0.563137727,0.647726501,0.175062574,-0.374634945,0.050319604,-0.281663633,-0.443671817,-0.377499353,-0.26175434,0.109092717,0.511208995
1794,0.728173793,,0.098615237,0.69324159,-0.196883856,-0.38987651,0.085435595,0.267215827,0.320158456,-0.409743671,-0.182677174,0.119681827,0.949348355,-0.194386,0.158760223,-0.745791033,-0.952736115,-0.070676796,0.104283799,-0.462741052
1795,-1.097526591,,0.192558678,-0.18914399,-0.260069366,1.289828534,-0.018520298,-0.555272254,-0.361837671,0.608072414,0.147078676,-0.887020985,0.423268846,-1.368166699,-0.176602386,-0.176994566,0.112754554,-0.03330671,-0.245913525,-0.503925835
1796,0.540658044,,1.324876744,-0.171463172,0.104295371,1.381721136,-0.398546144,-0.518542166,0.000154097,-0.30386786,0.067485498,0.481594011,0.307291256,0.381573456,-0.012673748,-0.315774697,1.266565166,0.125321,0.275839626,-0.064330753
1797,1.962547484,,-0.394710393,0.538496969,0.481628755,-0.065321061,0.564829612,1.051596589,-0.093189367,0.785106065,0.156879191,1.087077096,2.257729908,1.302318547,1.134404195,0.961822985,-0.794238809,0.604425381,0.752964862,1.963124809
1798,-0.683107082,,-0.61120682,1.314307139,-0.11651382,-0.976830777,0.543056495,0.148874896,-0.281048607,0.070512793,-0.19353514,0.52013708,-0.54459169,0.110292259,0.062432631,-1.122663648,1.457235564,-0.267085171,-0.395469488,-0.215898809
1799,0.049322823,,-0.250991846,0.095954604,-0.638074429,0.702718202,0.02590364,-0.040534089,-0.123917404,0.710255096,-0.014748375,-0.628254828,0.83612532,-1.130626334,0.801105591,-1.3137086,-0.740471568,-0.575219848,-0.397183359,-1.067001717
1800,1.783286118,,0.416007283,0.931464011,0.102399736,-0.724460837,0.25895375,1.122974328,0.806842571,0.47273807,0.35479245,0.084122196,0.016341571,0.506185429,1.016324669,-0.781383039,-1.126390528,0.349732766,0.136493466,0.393208829
1801,-0.477079231,,-1.384597877,0.966688463,0.039514124,-1.104121859,0.101379159,0.447111998,-0.370479238,-0.969105293,0.083252363,-0.276786946,-1.493305953,-0.395047872,-0.191449418,0.522333677,0.765955005,-0.449918275,-0.029858622,-0.205221144
1802,1.361654111,,2.830358354,0.543803463,-0.425211328,0.701174021,-0.767074075,1.223320158,-0.165973659,-0.147826013,-0.575020716,-0.682023541,0.814153461,-0.483069644,-1.183822149,-0.14874144,-0.554380659,-1.386701762,-0.295714399,-1.683167653
1803,1.624265331,,0.75841861,0.489020546,0.350645037,0.952383277,0.179525846,0.522519752,0.10274657,0.583551404,0.853564587,0.412090742,1.257560608,0.489214065,-0.696664563,1.738235682,-0.297128516,0.036148846,0.6158628,0.21229876
1804,-1.34186156,,-0.517166676,0.90446376,0.570851916,-1.319424437,0.600285684,-0.288676929,-0.085503079,-0.229193911,0.867686849,0.822567785,-1.664480601,0.647904448,0.783665116,0.813055887,-0.626681544,0.838748006,0.143660329,1.293807161
1805,-0.443416293,,0.924972773,0.146970815,-0.583705309,0.655392665,-0.424727209,-0.072301658,-0.481157433,0.305954616,-0.375366265,-0.770582636,-0.557681981,-1.06368981,0.048152135,0.09558792,-0.622760621,-0.174817115,-0.548083301,-0.61116874
1806,0.543552854,,0.084975787,0.535953262,0.559882114,0.483735472,-0.161255503,0.349813243,-0.365573978,0.230181387,0.164316185,0.425820441,1.324250708,0.914571313,0.891831782,0.149465854,0.315296156,0.742752547,0.474961565,1.121405678
1807,-0.174105767,,-0.094831772,0.668802868,-0.022645564,0.113318659,0.122683822,-0.114712693,-0.082176962,-0.042262487,-0.336391201,0.134636247,-0.97406595,0.450899617,1.116299898,1.127133896,0.39612301,0.670514944,0.001369355,0.502068587
1808,0.028376843,,1.827301772,0.651217693,0.180371849,-0.015912462,-0.009610868,0.212129208,0.127854374,0.205385199,0.222257467,0.197329941,-0.6245507,0.19066514,-0.750424624,-0.614140646,-0.714363814,0.638387763,-0.28958109,0.234491827
1809,0.487886773,,1.738236684,0.720853024,0.075901891,0.335732587,0.058180947,0.147030094,-0.166223363,-0.187042901,0.080735452,0.110965354,0.045984681,0.047065554,0.27042901,-0.077075146,0.297801141,0.569715473,0.377768507,0.511955247
1810,0.583724097,,-1.871031699,0.134474887,0.64018784,-0.401917179,0.552899423,0.319987213,-0.129779977,0.501463683,0.334236104,0.323869121,1.153735302,0.630239537,-0.126384036,0.465471893,0.520920359,0.806745365,-0.099391339,0.84810662
1811,-0.98602245,,-1.517782599,0.886110287,-0.443994413,-0.21181759,-0.211973715,0.015920504,-0.179891566,-0.499226441,0.04266773,-0.557143391,-1.219460011,-0.459392889,0.681017272,-0.824480292,0.058427,-1.140636552,-0.533960804,-0.17673939
1812,1.746299009,,-0.423309886,-0.413138649,-0.147531213,-0.238176221,-0.332080934,0.955076801,0.268493365,0.158149206,-0.16695478,-0.021024153,0.394363333,-0.214876545,0.571920376,-1.166290059,0.875374311,-0.591426485,-0.23820062,-0.75839828
1813,-0.339369123,,-1.023189802,0.496817636,-0.365468605,-0.112936903,0.049477966,-0.232941432,0.212805797,-0.729383524,0.550618345,0.05608843,-0.192561289,-0.022906843,-0.001349175,-0.459316962,1.065263456,-0.294322814,0.073209433,0.520362811
1814,0.63504097,,-0.304943078,0.574838768,-0.204931165,-0.578254352,0.07782794,0.284179481,0.307817954,-0.561203998,-0.319543827,-0.026600462,0.947073165,-0.2991319,0.13965583,-0.799412974,0.173669593,-0.145685598,0.051793106,-0.472515635
1815,-1.1872884,,-0.104061263,-0.251458416,-0.299174622,1.06746624,-0.027839942,-0.538660165,-0.56213012,0.360186703,-0.013501799,-1.072471114,0.380058653,-1.496467735,0.523883085,-0.319093947,0.748333591,-0.128892653,-0.306308267,-0.523821948
1816,0.449776678,,1.055343003,-0.232399264,0.049470564,1.136212328,-0.409711926,-0.543118436,-0.155757274,-0.53311119,-0.121738339,0.270031322,0.430525344,0.228239292,-0.489951956,-0.406783192,-1.020523178,0.04757052,0.206511506,-0.058662592
1817,1.803851484,,-0.483836125,0.407016977,0.402114178,-0.30345738,0.543765813,1.025592726,-0.019506173,0.504360358,-0.04717235,0.854898503,2.187677749,1.128214601,-0.077567994,0.757944288,-0.371080093,0.506357584,0.662830167,1.956304922
